"","occurrence_no","early_interval","late_interval","max_ma","max_ma_error","max_ma_method","min_ma","min_ma_error","min_ma_method","direct_ma_value","direct_ma_error","direct_ma_method","formation","member","spatial_resolution","collection_dates","research_group","ref_author","ref_pubyr"
"41385",102032,"Ypresian","Lutetian",56,NA,"",41.03,NA,"",NA,NA,"","Llajas","","","","marine invertebrate","Squires 1983",1983
"41446",102367,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Selsey","","","","marine invertebrate","Kemp 1976",1976
"41534",102458,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Earnley","","","","marine invertebrate","King and King 1977",1977
"41562",102732,"Early Paleocene","Middle Paleocene",66,NA,"",59.24,NA,"",NA,NA,"","Woolwich and Reading","","","","marine invertebrate","Tracey 1986",1986
"42434",104695,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Upper Cyrena","","","","marine invertebrate","Baldi 1973",1973
"42688",113706,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Drazinda","","","","marine invertebrate","Eames 1952",1952
"42689",113819,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Ghazij","","","","marine invertebrate","Eames 1952",1952
"42690",113951,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Shekhan","","","","marine invertebrate","Eames 1952",1952
"42691",117224,"Early Oligocene","",33.9,NA,"",27.3,NA,"",NA,NA,"","Calcaire Grossier d'Etrechy","","","","marine invertebrate","Gitton et al. 1986",1986
"42722",117256,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Palizzi","Lower","","","marine invertebrate","Bouillin et al. 1985",1985
"42763",117335,"Early Oligocene","",33.9,NA,"",27.3,NA,"",NA,NA,"","Falun de Jeurs","","","","marine invertebrate","Gitton et al. 1986",1986
"42835",117408,"Early Oligocene","",33.9,NA,"",27.3,NA,"",NA,NA,"","Falun d'Auvers-Saint-Georges","","","","marine invertebrate","Gitton et al. 1986",1986
"43176",119386,"Early Oligocene","",33.9,NA,"",27.3,NA,"",NA,NA,"","Falun de Pierrefitte","","","","marine invertebrate","Gitton et al. 1986",1986
"43406",119620,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Conglomerat de Pierrefitte","","","","marine invertebrate","Gitton et al. 1986",1986
"43469",123794,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Brejning Clay","","","","marine invertebrate","Schnetler and Beyer 1987",1987
"43509",123993,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Vejle Fjord","Brejning Clay","","","marine invertebrate","Schnetler and Beyer 1990",1990
"43547",125427,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Dakota Sandstone","Paguate Tongue","","","marine invertebrate","Sealey and Lucas 2000",2000
"43633",133006,"Paleocene","",66,NA,"",56,NA,"",NA,NA,"","Lodo","Moreno","","","marine invertebrate","Smith 1975",1975
"43708",133100,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Laguna Seca","","","","marine invertebrate","Smith 1975",1975
"43729",134910,"Early Albian","",113.2,NA,"",110.1,NA,"",NA,NA,"","Paluxy","","","","marine invertebrate","Atlee 1962",1962
"43734",134922,"Early Albian","",113.2,NA,"",110.1,NA,"",NA,NA,"","Walnut Clay","","","","marine invertebrate","Atlee 1962",1962
"43768",138849,"Early Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Bet Meir or Amminadav","","","","marine invertebrate,vertebrate","Polcyn et al. 1999",1999
"44679",149604,"Campanian","Early Maastrichtian",83.6,NA,"",66,NA,"",NA,NA,"","Marnes de plage","","","","vertebrate","Paris and Taquet 1973",1973
"44682",149612,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Calcarenites du Jadet","","parautochthonous","1971","vertebrate","Paris and Taquet 1973",1973
"44684",149856,"Late Barremian","Early Aptian",125.77,NA,"",119.57,NA,"",NA,NA,"","Vectis","","","","vertebrate","Buffetaut and Hutt 1980",1980
"44685",150091,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","North Horn","","","","vertebrate","Difley and Ekdale 1999",1999
"44687",150834,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Moncks Corner Greensand","","","","vertebrate","Gibbes 1845",1845
"44688",151518,"Early Albian","Middle Albian",113.2,NA,"",106.3,NA,"",NA,NA,"","Marnes bleues","","","","marine invertebrate","Gale et al. 1996",1996
"44726",151559,"Early Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Marnes Bleues","Upper","","","marine invertebrate","Gale et al. 1996",1996
"44760",157259,"Middle Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Moonkinu","","parautochthonous","","marine invertebrate","Stilwell and Henderson 2002",2002
"44808",200364,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Calcaire de Vigny","","","","marine invertebrate","Pacaud et al. 2000",2000
"44943",203979,"Pu2","",66,NA,"",63.4,NA,"",NA,NA,"","Ravenscrag","","","1954","vertebrate","Russell 1974",1974
"45015",205077,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Calcaire de Mons","","","","marine invertebrate","Glibert 1973",1973
"45236",205408,"Selandian","",61.66,NA,"",59.24,NA,"",NA,NA,"","Agatdal","Turritellakloft","","","marine invertebrate","Kollmann and Peel 1983",1983
"45498",220101,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Two Medicine","Flag Butte","parautochthonous","","vertebrate","Varricchio 1993",1993
"45528",232268,"Early Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Altamira","","","","marine invertebrate","Wilmsen 1996",1996
"45537",244948,"Middle Albian","",110.1,NA,"",106.3,NA,"",NA,NA,"","Al Hassanat","","","","marine invertebrate","Masse et al. 1997",1997
"45549",245118,"Early Albian","",113.2,NA,"",110.1,NA,"",NA,NA,"","Mural Limestone","","","","marine invertebrate","Scott 1981",1981
"45554",245339,"Santonian","",85.7,NA,"",83.6,NA,"",NA,NA,"","Sant Corneli","Sant Pere de Vilanoveta","","","marine invertebrate","Skelton et al. 1995",1995
"45563",248804,"Early Coniacian","",89.8,NA,"",85.7,NA,"",NA,NA,"","Streiteck","Atzl Reef","","","marine invertebrate","Sanders and Baron-Szabo 1997",1997
"45585",251360,"Eocene","",56,NA,"",33.9,NA,"",NA,NA,"","Okinoyama","","","","paleobotany","Huzioka and Takahasi 1970",1970
"45589",255472,"Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Itsuki","","","1989","vertebrate","Azuma et al. 1992",1992
"45592",255476,"Hauterivian","",132.6,NA,"",125.77,NA,"",NA,NA,"","Nochino","","autochthonous","1990","vertebrate","Azuma et al. 1992",1992
"45602",256595,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Xinlong","","","1960s, 1973, 2001, 2016–2016","vertebrate","Buffetaut et al. 2008",2008
"45603",260080,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Magyaregregy Conglomerate","","allochthonous","","marine invertebrate","Csázár and Turnsek 1996",1996
"45625",260110,"Late Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Hidasivölgy Marl","","","","marine invertebrate","Csázár and Turnsek 1996",1996
"45649",262183,"Early Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Gara Sbaa","","","1995, 2008","vertebrate","Sereno et al. 1996",1996
"45650",273788,"Late Aptian","",119.57,NA,"",113.2,NA,"",NA,NA,"","Tanohata","","","","marine invertebrate","Sano 1991",1991
"45651",276671,"Maastrichtian","",72.2,NA,"",66,NA,"Ar/Ar",NA,NA,"","Lameta","","parautochthonous","1850–1860, 1877, 1920, 1932","vertebrate","Hislop 1859",1859
"45714",279018,"Middle Cenomanian","Late Cenomanian",100.5,NA,"",93.9,NA,"",NA,NA,"","Bey Daglari","","","","marine invertebrate","Sari and Ozer 2002",2002
"45727",280204,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Bearpaw Shale","","allochthonous","1901","vertebrate","Douglass 1902",1902
"45729",281590,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Navesink","","parautochthonous","","marine invertebrate","Gallagher 2002",2002
"45755",281631,"Late Maastrichtian","Early Paleocene",72.2,NA,"",61.66,NA,"",NA,NA,"","Hornerstown","","","","marine invertebrate,vertebrate","Gallagher 1984",1984
"45787",282558,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Poudingue de Ciply","","","","marine invertebrate","Glibert and van de Poel 1973",1973
"45844",282653,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Tufeau de Ciply","","","","marine invertebrate","Glibert and van de Poel 1973",1973
"45863",282729,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Calcaire de Eisden","supérieur","","","marine invertebrate","Glibert and van de Poel 1973",1973
"45910",284155,"Thanetian","",59.24,NA,"",56,NA,"",NA,NA,"","Czarnorzeki Beds","Upper","","","marine invertebrate","Krach 1963",1963
"45999",284260,"Thanetian","",59.24,NA,"",56,NA,"",NA,NA,"","Babica Beds","Babica Clays","","","marine invertebrate","Krach 1963",1963
"46203",286403,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","St. Mary River","","","1955, 1957","marine invertebrate,vertebrate","Langston 1976",1976
"46207",286796,"Wasatchian","",56,NA,"",51.1,NA,"",NA,NA,"","Willwood","","","","vertebrate","Gingerich 1989",1989
"46213",288695,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Chachao","","","","marine invertebrate","Palma and Angeleri 1992",1992
"46350",292000,"Early Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Eagle","lettered sands","parautochthonous","","paleobotany","Van Boskirk 1998",1998
"46351",292246,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Opoka","","","","","Abdel-Gawad 1986",1986
"46353",292580,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Muhroni Agglomerates","","","1978 - 1980","vertebrate","Pickford and Andrews 1981",1981
"46354",292848,"Early Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Frontier","Belle Fourche","allochthonous","1900s","vertebrate","Williston 1905",1905
"46355",294239,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","opoka","","","","marine invertebrate","Abdel-Gawad 1986",1986
"46391",294662,"Late Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Pindiga","","","","marine invertebrate","Taylor and Zaborski 2002",2002
"46398",294842,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Chenaibo","","","","marine invertebrate","Obata et al. 1989",1989
"46868",296372,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","marly chalk","","","","marine invertebrate","Abdel-Gawad 1986",1986
"47029",297266,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Greensand","","","","marine invertebrate","Abdel-Gawad 1986",1986
"47045",297950,"Tiffanian","",60.9,NA,"",57.5,NA,"",NA,NA,"","Fort Union","","parautochthonous","","paleobotany","Wilf 2000",2000
"47058",303812,"Middle Eocene","",48.07,NA,"",37.71,NA,"",NA,NA,"","Subanthu","","","","marine invertebrate,vertebrate","Kumar et al. 1997",1997
"47063",304765,"Early Eocene","Middle Eocene",56,NA,"",37.71,NA,"",NA,NA,"","Subathu","","","","vertebrate","Ranga Rao and Misra 1983",1983
"47080",332423,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Cipiapa","","","","marine invertebrate","Alencaster 1973",1973
"47093",339094,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Asagai","","","","marine invertebrate","Ishida 1992",1992
"47101",342957,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Shellenberger Canyon","","parautochthonous","pre-1958","vertebrate","Miller 1964",1964
"47109",343018,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Fort Crittenden","","","","marine invertebrate,vertebrate","Miller 1964",1964
"47115",343535,"Early Albian","",113.2,NA,"",110.1,NA,"",NA,NA,"","Sebayashi","","autochthonous","","marine invertebrate,vertebrate","Matsukawa and Obata 1985",1985
"47121",343761,"Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Kuwajima","","","1985, 1997-2009","vertebrate","Matsuoka et al. 2002",2002
"47124",343948,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","La Meseta","","","","vertebrate","Hooker 1992",1992
"47149",365959,"Thanetian","",59.24,NA,"",56,NA,"",NA,NA,"","Salt Mountain Limestone","","","","marine invertebrate","Bryan et al. 1997",1997
"47151",366635,"Late Santonian","",85.7,NA,"",83.6,NA,"",NA,NA,"","Trieste Karst Limestone","","","","marine invertebrate","Caffau et al. 1992",1992
"47168",366655,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Aruma","Khanasir","","","marine invertebrate","Skelton and El-Asa'ad 1992",1992
"47181",368116,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Fruitland","Fossil Forest","","1977","vertebrate","Rowe et al. 1981",1981
"47182",370023,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Maastrichtian chalk","","","","marine invertebrate","Heinberg 1999",1999
"47201",370056,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Rødvig","Cerithium Limestone","","","marine invertebrate","Heinberg 1999",1999
"47327",370348,"Late Paleocene","",59.24,NA,"",56,NA,"",NA,NA,"","Aquia","Paspotansa","","","marine invertebrate","Ward and Waller 1988",1988
"47403",370627,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Hatchetigbee Bluff","Bashi","","","GCP,marine invertebrate","Aldrich 1921",1921
"47423",370924,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Mesilla Valley Shale","","","","marine invertebrate","Turnsek et al. 2003",2003
"47425",370964,"Middle Albian","Late Albian",110.1,NA,"",100.5,NA,"",NA,NA,"","Del Norte","","","","marine invertebrate","Turnsek et al. 2003",2003
"47427",371343,"Early Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Korycany","","","","marine invertebrate","Eliásová 1997",1997
"47535",372850,"Late Santonian","Middle Campanian",85.7,NA,"",72.2,NA,"",NA,NA,"","Blufftown","","","","marine invertebrate,vertebrate","Schwimmer 1986",1986
"48031",384567,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Lumachelle calcaire marin","","","","vertebrate","Gorodiski and Lavocat 1953",1953
"48034",384709,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Bagshot","","allochthonous","","paleobotany","Chandler 1962",1962
"48035",385821,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","President Beaches","Lenticular Sandstone","","","marine invertebrate","Kelly 1995",1995
"48037",385844,"Late Jurassic","Early Cretaceous",161.5,NA,"",100.5,NA,"",NA,NA,"","Spence Harbour Conglomerate","","","","marine invertebrate","Thomson 1981",1981
"48084",386321,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","La Posa","","","1984–2003","vertebrate","Buscalioni et al. 1986",1986
"48087",386327,"Lutetian","Bartonian",48.07,NA,"",37.71,NA,"",NA,NA,"","Snatolskaya","lower","","","marine invertebrate","Oleinik 2001",2001
"48161",386402,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Kovachinskaya","","","","marine invertebrate","Oleinik 2001",2001
"48199",387025,"Early Cretaceous","",143.1,NA,"",100.5,NA,"",NA,NA,"","Fuxin","","","","vertebrate","Xu et al. 1998",1998
"48202",387031,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Shahai","","","","vertebrate","Xu et al. 1998",1998
"48208",387077,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Jiufotang","","","","vertebrate","Xu et al. 1998",1998
"48211",387507,"Early Berriasian","",143.1,NA,"",141,NA,"",NA,NA,"","Rosso Ammonitico","","","","marine invertebrate","Cecca et al. 2001",2001
"48213",387509,"Late Berriasian","",139.1,NA,"",137.05,NA,"",NA,NA,"","Latimusa","","","","marine invertebrate","Cecca et al. 2001",2001
"48223",387694,"Late Aptian","",119.57,NA,"",113.2,NA,"",NA,NA,"","Koranga Sandstone","","","","marine invertebrate,vertebrate","Speden 1973",1973
"48226",387698,"Urutawan","Ngaterian",108.4,NA,"",95.2,NA,"",NA,NA,"","Karekare Siltstone","","","","marine invertebrate","Speden 1973",1973
"48229",387701,"Urutawan","",108.4,NA,"",103.3,NA,"",NA,NA,"","Te Wera Sandstone","","","","marine invertebrate","Speden 1973",1973
"48231",387725,"Early Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Subway","","","","marine invertebrate","Immel and Mutterlose 1980",1980
"48402",391323,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Locatelli","","","","marine invertebrate","Clark 1981",1981
"48426",391352,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","San Lorenzo","Rices Mudstone","","","marine invertebrate","Clark 1981",1981
"48464",391413,"MP 24","",33.9,NA,"",27.3,NA,"",NA,NA,"","Calcaires de Vacheres","","","","vertebrate","Hugueney et al. 1971",1971
"48467",391526,"Chattian","Aquitanian",27.3,NA,"",20.45,NA,"",NA,NA,"","Vaqueros","","","","marine invertebrate","Clark 1981",1981
"48468",391536,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Tucumcari","","","","marine invertebrate","Kues 1997",1997
"48482",391700,"Chattian","",27.3,NA,"paleomagnetic",23.04,NA,"paleomagnetic",NA,NA,"","Clallam","","","","marine invertebrate","Addicott 1976",1976
"48698",392262,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Narrow Cape","","","","marine invertebrate","Allison and Marincovich 1981",1981
"48712",392489,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Pittsburg","","allochthonous","","marine invertebrate","Moore 1976",1976
"48718",392495,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Pittsburg Bluff","","allochthonous","","marine invertebrate","Moore 1976",1976
"48932",392753,"Late Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Bathurst Island","Moonkinu","","","marine invertebrate","Glaessner 1980",1980
"48936",392778,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Agrio","","","","marine invertebrate","Aguirre-Urreta and Rawson 1999",1999
"49165",393387,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Coaledo","Lower","","","marine invertebrate","Allen and Baldwin 1944",1944
"49166",393388,"Ypresian","Lutetian",56,NA,"",41.03,NA,"",NA,NA,"","Tyee","","","","marine invertebrate","Allen and Baldwin 1944",1944
"49177",393562,"Middle Eocene","Late Eocene",48.07,NA,"",33.9,NA,"",NA,NA,"","Unnamed","","","","marine invertebrate","Vedder and Norris 1963",1963
"49208",394490,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Neuwieder Becken 1","","","","marine invertebrate","Kadolsky 1975",1975
"49210",394495,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Neuwieder Becken 2a","","","","marine invertebrate","Kadolsky 1975",1975
"49212",394507,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Neuwieder Becken 2b","","","","marine invertebrate","Kadolsky 1975",1975
"49213",394508,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Neuwieder Becken 3","","","","marine invertebrate","Kadolsky 1975",1975
"49216",394516,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Neuwieder Becken 4","","","","marine invertebrate","Kadolsky 1975",1975
"49250",394754,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Neuwieder Becken 5","","","","marine invertebrate","Kadolsky 1975",1975
"49252",394765,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Neuwieder Becken 6","","","","marine invertebrate","Kadolsky 1975",1975
"49253",394766,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Neuwieder Becken 7a","","","","marine invertebrate","Kadolsky 1975",1975
"49256",394769,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Neuwieder Becken 7b","","","","marine invertebrate","Kadolsky 1975",1975
"49257",394770,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Neuwieder Becken 8","","","","marine invertebrate","Kadolsky 1975",1975
"49263",394912,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Eugene","","","","marine invertebrate","Smith and Ruff 1938",1938
"49277",397190,"Early Santonian","",85.7,NA,"",83.6,NA,"",NA,NA,"","Saint Lucia","","","1970, 1983","marine invertebrate","Kennedy et al. 1987",1987
"49385",400691,"Early Albian","",113.2,NA,"",110.1,NA,"",NA,NA,"","Kennicott","","","","marine invertebrate","Imlay 1959",1959
"49386",400755,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Jewett","Pyramid Hill","","","marine invertebrate,vertebrate","Anderson 1911",1911
"49438",400872,"Late Cretaceous","",100.5,NA,"",66,NA,"",NA,NA,"","New Pit Chalk","","","","marine invertebrate","Woods 2002",2002
"49440",400879,"MP 17A","MP 17B",37.71,NA,"",33.9,NA,"",NA,NA,"","Headon Hill","Totland Bay","","","marine invertebrate,vertebrate","Hastings 1853",1853
"49536",400986,"Early Albian","",113.2,NA,"",110.1,NA,"",NA,NA,"","Matanuska","","","","marine invertebrate","Imlay 1959",1959
"49562",401738,"Early Cenomanian","Middle Cenomanian",100.5,NA,"",93.9,NA,"",NA,NA,"","Griman Creek","Wallangulla Sandstone","","","vertebrate","Molnar 1999",1999
"49569",402330,"Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Lewes Nodular Chalk","","","","marine invertebrate","Woods 2002",2002
"49626",405120,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Cardenas","Upper","","","marine invertebrate","Schafhauser et al. 2003",2003
